4627872144492
0
10,0,-0.109854,0.351632,0.143399,,1,-0.165024,0.309337,0.180509,,2,-0.0223109,0.341885,0.189677,,3,-0.0524234,0.346766,0.188881,,4,-0.0888899,0.342895,0.205127,,5,-0.0417957,0.344709,0.106497,,6,-0.0618365,0.349584,0.111892,,7,-0.0216456,0.335454,0.101416,,8,-0.126511,0.338741,0.196729,
20,0,-0.109893,0.35162,0.143436,,1,-0.165013,0.309299,0.180564,,2,-0.0220822,0.341903,0.189537,,3,-0.052447,0.346704,0.188897,,4,-0.0889027,0.342842,0.205138,,5,-0.0418205,0.344655,0.106474,,6,-0.0618825,0.349441,0.111869,,7,-0.0216874,0.335381,0.101377,,8,-0.126523,0.338709,0.196748,
30,0,-0.109761,0.351264,0.143314,,1,-0.165017,0.309248,0.180587,,2,-0.0222905,0.34178,0.189695,,3,-0.0524178,0.346648,0.188925,,4,-0.0888929,0.34279,0.205156,,5,-0.041845,0.34421,0.106394,,6,-0.0619041,0.349398,0.111846,,7,-0.0217239,0.335303,0.101337,,8,-0.126555,0.33865,0.196758,
40,0,-0.109881,0.351561,0.143477,,1,-0.165006,0.309199,0.180592,,2,-0.0222393,0.341722,0.189697,,3,-0.0524192,0.346584,0.188982,,4,-0.0888672,0.342758,0.205178,,5,-0.041872,0.344135,0.106369,,6,-0.0616556,0.349057,0.111718,,7,-0.0217162,0.335229,0.10133,,8,-0.126542,0.338613,0.196788,
50,0,-0.109744,0.351194,0.14335,,1,-0.165029,0.309145,0.180647,,2,-0.0222112,0.341625,0.189689,,3,-0.0523699,0.346534,0.188991,,4,-0.088846,0.34272,0.205198,,5,-0.0417722,0.344017,0.106287,,6,-0.0616565,0.349014,0.111714,,7,-0.0217079,0.335128,0.101326,,8,-0.126498,0.338616,0.196804,
60,0,-0.109699,0.351196,0.143371,,1,-0.164994,0.309143,0.180656,,2,-0.0219907,0.341669,0.18959,,3,-0.0502039,0.347203,0.190779,,4,-0.0887537,0.34268,0.205273,,5,-0.0417902,0.343836,0.106254,,6,-0.0616933,0.348927,0.111692,,7,-0.021406,0.336338,0.101394,,8,-0.126465,0.338562,0.196853,
70,0,-0.109651,0.351183,0.143375,,1,-0.164964,0.309147,0.180682,,2,-0.0219601,0.341631,0.189606,,3,-0.0501753,0.347196,0.190788,,4,-0.0887195,0.342685,0.205281,,5,-0.0417707,0.343765,0.106232,,6,-0.061713,0.348882,0.111682,,7,-0.0214533,0.33622,0.101365,,8,-0.126441,0.338562,0.196856,
80,0,-0.109769,0.351511,0.14355,,1,-0.164958,0.309181,0.180694,,2,-0.021933,0.341643,0.189621,,3,-0.0501487,0.347211,0.190846,,4,-0.0887033,0.342701,0.205297,,5,-0.0417913,0.343727,0.106218,,6,-0.0617184,0.348861,0.111673,,7,-0.0214667,0.336171,0.101339,,8,-0.126418,0.338582,0.196871,
90,0,-0.109766,0.351544,0.143525,,1,-0.16494,0.309224,0.180689,,2,-0.0219066,0.341654,0.1896,,3,-0.0501417,0.347244,0.190856,,4,-0.0886989,0.342734,0.205305,,5,-0.0417999,0.343704,0.106179,,6,-0.0617235,0.348862,0.111596,,7,-0.0214947,0.33614,0.101296,,8,-0.126404,0.338613,0.196871,
101,0,-0.109741,0.351578,0.143528,,1,-0.16493,0.309242,0.180724,,2,-0.0219017,0.341706,0.189609,,3,-0.0501567,0.347309,0.190851,,4,-0.0886908,0.342794,0.205317,,5,-0.0418637,0.343632,0.106084,,6,-0.0617569,0.348842,0.111543,,7,-0.0215765,0.336073,0.101159,,8,-0.126383,0.338662,0.196881,
113,0,-0.10974,0.351622,0.143523,,1,-0.164915,0.309291,0.180736,,2,-0.0219045,0.341798,0.189654,,3,-0.0501465,0.347361,0.190862,,4,-0.0886672,0.342842,0.205321,,5,-0.0419211,0.343527,0.105981,,6,-0.0618252,0.348784,0.111469,,7,-0.021666,0.335942,0.10104,,8,-0.126361,0.338701,0.196872,
123,0,-0.109705,0.351649,0.143512,,1,-0.164909,0.309375,0.180719,,2,-0.0218857,0.341839,0.189667,,3,-0.0501277,0.3474,0.190871,,4,-0.0886511,0.342927,0.205323,,5,-0.0419132,0.343261,0.105839,,6,-0.061848,0.348717,0.111414,,7,-0.0217487,0.335774,0.100909,,8,-0.126331,0.338735,0.196868,
133,0,-0.10968,0.351669,0.143511,,1,-0.164896,0.309414,0.180722,,2,-0.0218682,0.341848,0.189676,,3,-0.050125,0.347409,0.190882,,4,-0.0886278,0.342985,0.205341,,5,-0.0415496,0.343142,0.10578,,6,-0.0618585,0.348667,0.111368,,7,-0.0217981,0.335631,0.100832,,8,-0.126291,0.338737,0.196842,
143,0,-0.109651,0.351696,0.143507,,1,-0.164899,0.309476,0.180758,,2,-0.0218435,0.341828,0.189686,,3,-0.0500875,0.347391,0.190884,,4,-0.0885836,0.342972,0.205356,,5,-0.0415827,0.343054,0.105718,,6,-0.0619068,0.348589,0.111307,,7,-0.0218168,0.335511,0.100734,,8,-0.126203,0.338805,0.196849,
157,0,-0.109583,0.351732,0.143493,,1,-0.164832,0.309447,0.180716,,2,-0.0217876,0.341799,0.189681,,3,-0.0500328,0.347354,0.190885,,4,-0.0884767,0.342984,0.205371,,5,-0.0416156,0.342919,0.105583,,6,-0.0619446,0.348506,0.111225,,7,-0.0219306,0.335278,0.100575,,8,-0.126204,0.33887,0.196827,
167,0,-0.10956,0.351748,0.143488,,1,-0.164809,0.309462,0.180711,,2,-0.0217583,0.341769,0.189607,,3,-0.0500092,0.347362,0.190868,,4,-0.0884502,0.342989,0.20537,,5,-0.0416311,0.342884,0.105566,,6,-0.061907,0.348508,0.111192,,7,-0.0220793,0.333715,0.100438,,8,-0.126207,0.338916,0.196855,
177,0,-0.109547,0.351759,0.143472,,1,-0.164794,0.309476,0.180707,,2,-0.0217231,0.341765,0.189572,,3,-0.0499783,0.347361,0.190848,,4,-0.0884189,0.343006,0.205348,,5,-0.0416264,0.342844,0.105551,,6,-0.0619138,0.348493,0.111191,,7,-0.0220537,0.333712,0.100434,,8,-0.126167,0.338893,0.196818,
